"co_evento","nu_ano_competencia","qt_registros","qt_cnspcn","qt_cnspcn_menor18","qt_cnspcn_sexo_f","qt_apac","qt_cnes","qt_municipio_residencia","qt_aprovada","vl_aprovado","vl_aprovado_unitario_mediana","no_coorte","no_origem","sg_procedimento","no_procedimento"
604360029,2014,5,1,0,0,2,1,1,120,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2015,12,1,0,0,5,1,1,320,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2016,2,1,0,0,2,1,1,60,0.0,,acidente_vascular,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
601180038,2008,2,1,0,1,2,1,1,120,30.0,0.25,acidente_vascular,sia_am,BEZA200,BEZAFIBRATO 200 MG (POR DRÁGEA OU COMPRIMIDO)
604330022,2014,10,3,0,2,4,1,2,160,0.0,,acidente_vascular,sia_am,CLOP75,CLOPIDOGREL 75MG (COMPRIMIDO)
604330022,2015,43,4,0,3,16,1,2,1060,0.0,,acidente_vascular,sia_am,CLOP75,CLOPIDOGREL 75MG (COMPRIMIDO)
604330022,2016,24,6,0,4,10,2,3,361,0.0,,acidente_vascular,sia_am,CLOP75,CLOPIDOGREL 75MG (COMPRIMIDO)
604330022,2017,24,2,0,1,9,2,2,224,0.0,,acidente_vascular,sia_am,CLOP75,CLOPIDOGREL 75MG (COMPRIMIDO)
604330022,2018,14,2,0,1,5,2,2,30,0.0,,acidente_vascular,sia_am,CLOP75,CLOPIDOGREL 75MG (COMPRIMIDO)
604330022,2019,9,1,0,1,3,1,1,0,0.0,,acidente_vascular,sia_am,CLOP75,CLOPIDOGREL 75MG (COMPRIMIDO)
601070011,2008,6,1,0,1,2,1,1,540,318.6,0.59,acidente_vascular,sia_am,GABA300,GABAPENTINA 300 MG (POR CAPSULA)
601180178,2008,1,1,0,1,1,1,1,60,22.2,0.37,acidente_vascular,sia_am,PRAV20,PRAVASTATINA 20MG (POR COMPRIMIDO)
601180208,2009,3,1,0,0,1,1,1,180,12.600000000000001,0.07,acidente_vascular,sia_am,SINV20,SINVASTATINA (J) 20 MG (POR COMPRIMIDO)
601180216,2009,8,1,0,0,3,1,1,180,28.799999999999997,0.16,acidente_vascular,sia_am,SINV40,SINVASTATINA (J) 40 MG (POR COMPRIMIDO)
601180216,2010,4,1,0,0,2,1,1,30,4.8,0.16,acidente_vascular,sia_am,SINV40,SINVASTATINA (J) 40 MG (POR COMPRIMIDO)
601070070,2008,7,1,1,1,3,1,1,210,308.70000000000005,1.47,acidente_vascular,sia_am,TOPI50,TOPIRAMATO 50 MG (POR COMPRIMIDO)
601070070,2009,1,1,1,1,1,1,1,30,44.1,1.47,acidente_vascular,sia_am,TOPI50,TOPIRAMATO 50 MG (POR COMPRIMIDO)
604500076,2010,8,1,1,1,3,1,1,390,0.0,,acidente_vascular,sia_am,TOPI50,TOPIRAMATO 50 MG (POR COMPRIMIDO)
604500076,2011,12,1,1,1,4,1,1,300,0.0,,acidente_vascular,sia_am,TOPI50,TOPIRAMATO 50 MG (POR COMPRIMIDO)
604500076,2012,12,1,1,1,4,1,1,360,0.0,,acidente_vascular,sia_am,TOPI50,TOPIRAMATO 50 MG (POR COMPRIMIDO)
604500076,2013,12,1,1,1,4,1,1,360,0.0,,acidente_vascular,sia_am,TOPI50,TOPIRAMATO 50 MG (POR COMPRIMIDO)
604500076,2014,6,1,1,1,2,1,1,60,0.0,,acidente_vascular,sia_am,TOPI50,TOPIRAMATO 50 MG (POR COMPRIMIDO)
601070089,2008,5,1,1,1,2,1,1,150,195.0,1.3,acidente_vascular,sia_am,VIGA500,VIGABATRINA 500 MG (POR COMPRIMIDO)
604380011,2011,3,1,0,1,1,1,1,4,0.0,,acromegalia,sia_am,ADAL40,ADALIMUMABE 40 MG INJETAVEL (POR SERINGA PREENCHIDA)
601040058,2008,6,2,0,1,4,1,2,72,0.0,,acromegalia,sia_am,ALFA4000,ALFAEPOETINA 4.000 UI INJETAVEL (POR FRASCO-AMPOLA)
601040058,2009,3,1,0,0,1,1,1,26,0.0,,acromegalia,sia_am,ALFA4000,ALFAEPOETINA 4.000 UI INJETAVEL (POR FRASCO-AMPOLA)
601180011,2008,25,6,0,6,11,2,4,810,1430.4000000000005,1.84,acromegalia,sia_am,ATOR10,ATORVASTATINA 10 MG (POR COMPRIMIDO)
601180011,2009,18,5,0,5,8,2,3,462,680.2,1.5,acromegalia,sia_am,ATOR10,ATORVASTATINA 10 MG (POR COMPRIMIDO)
604360010,2010,6,3,0,2,3,2,3,338,0.0,,acromegalia,sia_am,ATOR10,ATORVASTATINA 10 MG (POR COMPRIMIDO)
601180011,2010,3,2,0,2,2,2,2,30,45.0,1.5,acromegalia,sia_am,ATOR10,ATORVASTATINA 10 MG (POR COMPRIMIDO)
604360010,2011,13,3,0,1,6,2,3,300,0.0,,acromegalia,sia_am,ATOR10,ATORVASTATINA 10 MG (POR COMPRIMIDO)
601180020,2008,12,4,0,4,6,2,3,360,1188.0,3.3,acromegalia,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
601180020,2009,6,1,0,1,2,1,1,180,475.2,2.64,acromegalia,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
601180020,2010,5,2,0,2,2,1,1,270,712.8,2.64,acromegalia,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
604360029,2011,4,2,0,2,2,1,1,60,0.0,,acromegalia,sia_am,ATOR20,ATORVASTATINA 20 MG (POR COMPRIMIDO)
601310012,2008,6326,1147,27,940,3600,101,394,335747,251810.25,0.75,acromegalia,sia_am,BROM25,BROMOCRIPTINA 2.5 MG (POR COMPRIMIDO)
601310012,2009,4983,858,23,689,2876,107,349,261176,195882.0,0.75,acromegalia,sia_am,BROM25,BROMOCRIPTINA 2.5 MG (POR COMPRIMIDO)
604030010,2010,3413,653,15,516,2044,98,295,193838,257804.5399999941,1.3299999999999998,acromegalia,sia_am,BROM25,BROMOCRIPTINA 2.5 MG (POR COMPRIMIDO)
601310012,2010,976,448,6,352,576,90,239,52730,39547.5,0.75,acromegalia,sia_am,BROM25,BROMOCRIPTINA 2.5 MG (POR COMPRIMIDO)
604030010,2011,4137,685,17,531,2425,93,283,224558,298662.1399999938,1.3299999999999998,acromegalia,sia_am,BROM25,BROMOCRIPTINA 2.5 MG (POR COMPRIMIDO)
